servidor_id,tipo_rede,uso_cpu,uso_memoria,latencia_rede_ms,taxa_pacotes_perdidos,status_alerta
SRV-487,AWS,34.31,43.54,16.72,2.47,0
SRV-488,AWS,44.04,40.64,26.4,0.92,0
SRV-489,On-Premise,54.5,77.65,75.16,1.19,1
SRV-490,On-Premise,81.92,57.49,22.95,0.85,1
SRV-491,Azure,47.24,51.97,34.02,0.07,0
SRV-492,Azure,58.36,72.48,17.64,0.27,0
SRV-493,AWS,54.75,52.73,25.14,0.88,0
SRV-494,AWS,72.83,81.91,2.0,0.35,1
SRV-495,Azure,92.9,68.14,7.34,0.08,0
SRV-496,AWS,47.04,54.15,11.23,2.78,0
SRV-497,Azure,47.66,85.89,15.99,5.96,1
SRV-498,AWS,70.66,52.73,2.0,2.36,1
SRV-499,On-Premise,65.23,68.91,3.77,2.88,0
SRV-500,On-Premise,82.7,63.59,8.1,0.42,0
